City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Half Moon Bay,US,37.4636,-122.4286,51.91,70,20,12.66,few clouds
295,Portland,US,45.5234,-122.6762,43.61,92,100,14.0,light rain
296,Kikwit,CD,-5.041,18.8162,67.26,98,100,2.21,overcast clouds
297,Puerto Colombia,CO,10.9878,-74.9547,80.69,83,98,12.41,overcast clouds
298,Avera,US,33.194,-82.5271,63.37,67,51,10.4,broken clouds
299,Gornopravdinsk,RU,60.05,69.9,-4.29,94,94,4.25,overcast clouds
300,Chuy,UY,-33.6971,-53.4616,65.95,93,0,9.78,clear sky
301,Mitu,CO,1.1983,-70.1733,72.18,99,100,3.31,overcast clouds
302,Karabulak,RU,43.3036,44.8964,32.27,87,100,7.29,overcast clouds
303,Wasilla,US,61.5814,-149.4394,9.73,82,0,3.44,clear sky
304,Siguiri,GN,11.6667,-9.5,72.41,32,23,0.16,few clouds
305,Yenagoa,NG,4.9247,6.2642,75.81,89,91,3.22,overcast clouds
306,Husavik,IS,66.0449,-17.3389,35.58,84,68,14.76,broken clouds
307,Pacific Grove,US,36.6177,-121.9166,51.48,77,0,3.44,clear sky
308,Taoudenni,ML,22.6783,-3.9836,61.38,19,0,10.16,clear sky
309,Hansi,IN,29.1,75.9667,63.64,32,0,2.3,clear sky
310,San Francisco,US,37.7749,-122.4194,52.25,66,20,12.66,few clouds
311,San Policarpo,PH,12.1791,125.5072,83.75,77,93,13.27,overcast clouds
312,Shiraz,IR,29.6036,52.5388,40.44,65,0,0.0,clear sky
313,Hofn,IS,64.2539,-15.2082,45.21,95,100,14.14,light rain
314,Moroni,KM,-11.7022,43.2551,75.92,77,32,4.09,scattered clouds
315,Marienburg,PL,54.0359,19.0266,33.89,96,18,6.98,few clouds
316,Tibiri,NE,13.5627,7.0485,63.09,27,0,10.2,clear sky
317,Pedernales,DO,18.0384,-71.744,78.66,66,79,3.78,broken clouds
318,Aldan,RU,58.6031,125.3894,-20.92,93,100,6.02,overcast clouds
319,Newport,GB,51.5877,-2.9984,42.64,83,100,4.74,overcast clouds
320,Imbituba,BR,-28.24,-48.6703,72.86,94,95,10.4,overcast clouds
321,Oranjemund,NA,-28.55,16.4333,59.81,88,64,3.58,broken clouds
322,Cascais,PT,38.6979,-9.4215,54.97,74,13,7.0,few clouds
323,Dire Dawa,ET,9.5931,41.8661,61.59,38,0,4.25,clear sky
324,Bela,IN,25.9333,81.9833,67.64,49,100,0.49,overcast clouds
325,Moengo,SR,5.6167,-54.4,72.25,99,66,1.66,broken clouds
326,Anadyr,RU,64.75,177.4833,34.3,86,75,8.95,broken clouds
327,Lorengau,PG,-2.0226,147.2712,86.43,64,83,10.29,broken clouds
328,Noshiro,JP,40.2039,140.0242,47.23,92,100,21.77,light rain
329,Shenjiamen,CN,29.9576,122.298,50.02,79,100,26.19,overcast clouds
330,Turbat,PK,26.0023,63.044,68.95,27,0,6.46,clear sky
331,Vardo,NO,70.3705,31.1107,33.78,80,76,24.16,broken clouds
332,Moron,AR,-34.6534,-58.6198,80.49,65,20,7.92,few clouds
333,Namwala,ZM,-15.7504,26.4384,64.26,91,69,4.14,broken clouds
334,Ndele,CF,8.4109,20.6473,74.48,31,99,3.44,overcast clouds
335,Berlevag,NO,70.8578,29.0864,37.4,87,100,18.41,overcast clouds
336,Richards Bay,ZA,-28.783,32.0377,63.3,80,0,6.49,clear sky
337,Damghan,IR,36.1683,54.348,45.07,57,100,0.54,overcast clouds
338,Mmabatho,ZA,-25.85,25.6333,60.76,82,66,2.3,broken clouds
339,Verkhoyansk,RU,67.5447,133.385,-24.61,97,100,1.72,overcast clouds
340,Marawi,PH,7.9986,124.2928,80.22,65,94,6.29,light rain
341,Muriwai Beach,NZ,-36.8167,174.45,65.95,82,89,14.97,overcast clouds
342,Erenhot,CN,43.6475,111.9767,5.05,49,0,21.07,clear sky
343,Livingston,GB,55.9029,-3.5226,42.48,96,75,1.14,fog
344,Smirnykh,RU,49.75,142.8333,15.15,76,29,12.21,scattered clouds
